"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"INFRASTRUTTURE WIRELESS ITALIANE SPA";"Telecommunications";"619099";"";"Lombardia";"SI";"DNF-Volontaria";"DNF";"Report-separato";"34";"3";"2";"10";"1";"No";"No";"Si";"No";"No";"No";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Matrice";"No";"No";"No";"No";"N.R.";"";"";"";"";"";"918952";"";"";"";"";"";"";"No";"No";"No";"74";"48";"45";"30";"";"51";"3";"41";"56";"58";"0";"10";"90";"149.pdf";"INWIT - DNF 2019 (1).pdf"
"INTERCOS GROUP";"Manufacturing";"204200";"";"Lombardia";"SI";"Altro-EIPR-obbligato";"DNF";"Report-separato";"61";"2";"12";"18";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"N.R.";"12414";"20904";"13291";"";"";"17547";"439139";"";"";"1353";"9";"";"No";"No";"No";"1356";"2373";"27";"";"96";"";"";"";"";"";"";"";"";"148.pdf";"Intercos-Consolidated-disclosure-of-non-financial-information-2019.pdf"
"INTERPUMP GROUP";"Machine and Plant";"282990";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"61";"3";"9";"21";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"SASB";"SASB";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"13291";"35981";"45091";"";"";"539887";"327423";"";"";"27496";"7";"59";"No";"No";"No";"5671";"1185";"5";"11";"";"45";"11";"55";"34";"53";"0";"35";"65";"150.pdf";"ipg_dnf_2019.pdf"
"INTESA SANPAOLO";"Banks";"641910";"";"Piemonte";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"216";"9";"21";"86";"7";"Si";"No";"Si";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Comprehensive";"UN Global Compact; SASB";"UN_GC_SASB";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"45398";"144971";"33709";"";"57479";"3924741";"1700";"";"";"4729";"2";"14";"No";"No";"No";"40860";"47822";"37";"39";"90";"46";"7";"54";"39";"57";"0";"16";"84";"78.pdf";"DCNF 2019_ita.pdf"
"IRCE";"Electronics";"273200";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"18";"2";"4";"5";"2";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Matrice";"No";"No";"No";"No";"N.R.";"5126";"";"";"3540394";"";"495428";"83527";"";"";"4545";"5673";"";"No";"No";"No";"552";"73";"13";"8";"";"";"";"";"";"";"";"";"";"55.pdf";"bilancio_31.12._2019.pdf"
"IREN";"Utilities";"351300";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"142";"10";"18";"52";"8";"Si";"No";"No";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Comprehensive";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"3942999";"";"";"105583";"3633772";"63284847";"";"578222796";"";"702678";"500";"";"Si";"Si";"Si";"6162";"1940";"23";"23";"";"49";"";"";"";"53";"0";"33";"67";"22.pdf";"20200408 BDS 2019.pdf"
"ISAGRO";"Chemicals";"	467500";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"84";"3";"10";"20";"3";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"5849";"6732";"8615";"";"";"170961";"1502000";"";"";"2327";"37";"75";"No";"No";"No";"239";"104";"36";"34";"";"47";"7";"53";"40";"53";"0";"36";"64";"99.pdf";"dichiarazionenonfinanziaria_19_13_web1.pdf"
"ITALGAS";"Energy";"352200";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"147";"8";"20";"42";"6";"Si";"Si";"Si";"Si";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"549";"";"";"9";"284";"572130";"138250";"";"";"713";"0";"";"No";"No";"No";"3517";"579";"33";"45";"90";"51";"9";"22";"69";"";"";"";"";"96.pdf";"Dichiarazione-Non-Finanziaria-2019.pdf"
"ITALIAN EXHIBITION GROUP SPA";"Services";"823000";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"38";"2";"6";"16";"2";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Referenced";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"N.R.";"2288";"";"";"5683";"";"99528";"";"230769";"";"4001";"15";"";"No";"No";"No";"216";"331";"19";"22";"";"38";"26";"63";"11";"47";"4";"59";"37";"153.pdf";"ITALIAN EXHIBITION GROUP-Relazione_Finanziaria_Annuale_2019_v3.pdf"
"ITALMOBILIARE";"Financial Services";"701000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"93";"2";"19";"37";"3";"Si";"Si";"Si";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"6943";"31987";"40491";"";"";"489690";"";"538040";"9574";"9935";"23";"67";"No";"No";"No";"1249";"470";"36";"";"";"";"";"";"";"53";"0";"36";"64";"116.pdf";"DNF2019-IT.pdf"
"ITAS MUTUA";"Financial Services";"	651200";"";"Trentino-Alto Adige";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"130";"8";"12";"52";"6";"No";"No";"Si";"Si";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"SDG Compass; WBCSD; UN Global Compact";"SDG_Comp_WBCSD_UN_GC";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"40";"711";"";"";"336";"14985";"";"";"";"";"1";"13";"No";"No";"No";"418";"320";"14";"22";"";"45";"8";"63";"29";"57";"0";"14";"86";"115.pdf";"dnf.pdf"
"KEDRION";"Healthcare and Pharma";"212009";"";"Toscana";"SI";"Altro-EIPR-obbligato";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"40";"1";"6";"23";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Core";"UN Global Compact";"UN_GC";"No";"No";"No";"Matrice";"No";"No";"No";"No";"N.R.";"32821";"20073";"";"";"";"682228";"1035828";"";"";"6992";"20";"";"No";"No";"No";"1219";"1396";"9";"26";"";"";"";"";"";"";"";"";"";"155.pdf";"Kedrion - FY2019 Consolidated FInancial Statements_0.pdf"
"KIKO SPA";"Manufacturing";"47751";"";"Lombardia";"SI (DNF N.D.)";"Altro-EIPR-obbligato";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Non Specificata";"";"";"";"";"";"Nessuna";"";"";"";"N.R.";"N.R.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"LA CASSA DI RAVENNA SPA";"Banks";"641910";"";"Emilia Romagna";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"109";"11";"9";"43";"4";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"659";"1600";"2458";"";"";"28844";"";"";"";"";"2";"25";"No";"No";"No";"491";"508";"8";"27";"";"48";"1";"59";"40";"71";"0";"8";"92";"45.pdf";"bilancio sostenibilita 2019_DEFINITIVO.pdf"
"LA DORIA";"Food and Beverage";"103000";"";"Campania";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"106";"5";"24";"20";"3";"Si";"Si";"Si";"Si";"No";"No";"Si";"Si";"Si";"No";"Si";"Core";"SASB";"SASB";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"52227";"11485";"16023";"";"";"1350400";"2847784";"";"";"655722";"75";"";"No";"No";"No";"672";"174";"33";"16";"94";"43";"15";"61";"24";"53";"0";"33";"67";"10.pdf";"1957-ladoria2019it.pdf"
"LANDI RENZO";"Automotive";"293209";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"87";"3";"13";"45";"5";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"N.R.";"1109578";"";"";"3746451";"";"51717";"9267";"";"";"600";"8504";"";"No";"No";"No";"387";"184";"33";"13";"";"42";"29";"50";"21";"60";"0";"22";"78";"3.pdf";"062_5487_1_RELAZIONE FINANZIARIA ANNUALE 2019.pdf"
"LEONARDO";"Aerospace";"303009";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"155";"4";"20";"29";"7";"Si";"Si";"Si";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact; SASB; IIRC";"UN_GC_SASB_IIRC";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"332780";"267468";"70856";"";"";"5836000";"";"5887000";"";"42438";"12";"";"No";"No";"No";"40516";"9014";"33";"15";"97";"46";"10";"52";"38";"61";"";"";"";"46.pdf";"Bilancio sostenibilita` 2019 Leonardo ITA.pdf"
"LU-VE GROUP";"Technology";"282500";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"98";"4";"7";"29";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"5571";"14185";"16647";"";"";"2669";"210212";"";"";"6912";"8";"";"No";"No";"No";"1827";"785";"33";"18";"95";"41";"20";"59";"21";"58";"0";"8";"92";"174.pdf";"Rapporto_di_Sostenibilita`_2019_4yGSXKG.pdf"
"MAIRE TECNIMONT";"Machine and Plant";"711210";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"125";"4";"10";"40";"7";"No";"No";"Si";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"169144";"";"";"49789";"";"2661417";"47544";"";"";"660439";"34";"";"No";"No";"No";"5078";"1269";"44";"12";"93";"42";"12";"68";"20";"56";"0";"20";"80";"76.pdf";"Creating Value 2019 - Maire Tecnimont Sustainability Report.pdf"
"MARR SPA";"Food and Beverage";"469000";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"37";"2";"6";"19";"1";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Matrice";"SI";"Si";"No";"Si";"Workshop Mono-STK";"873";"";"";"21500";"22365";"231112";"212092";"";"";"3602";"27";"";"No";"No";"No";"576";"247";"33";"13";"93";"47";"7";"52";"41";"58";"0";"11";"89";"156.pdf";"MARR___Dichiarazione_Consolidata_di_Carattere_Non_Finanziario_al_31_dicembre_2019.pdf"
"MASSIMO ZANETTI BEVERAGE GROUP";"Food and Beverage";"469000";"";"Veneto";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"102";"1";"16";"35";"3";"No";"No";"Si";"No";"Si (2017-2018)";"Si";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact";"UN_GC";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"31165";"15539";"";"";"";"655258";"";"";"";"9525";"15";"79";"No";"No";"No";"2024";"1196";"44";"36";"";"";"";"";"";"49";"0";"56";"44";"196.pdf";"sostenibilit__-1089.pdf"
"MEDIASET";"Media and Publishing";"701000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"160";"8";"10";"53";"3";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"4116";"33249";"37949";"";"";"406000";"";"";"";"1995";"8";"70";"No";"No";"No";"2582";"2402";"33";"44";"";"49";"5";"48";"47";"59";"0";"6";"94";"140.pdf";"Gruppo Mediaset - DNF 2019_ITA (2).pdf"
"MEDIOBANCA";"Banks";"641910";"";"Lombardia";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"148";"7";"11";"64";"5";"Si";"Si";"Si";"Si";"Si (2017-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"3929";"7528";"163";"";"1527";"146497";"194649";"";"";"64";"2";"";"No";"No";"No";"2862";"2058";"33";"29";"100";"42";"9";"73";"18";"56";"0";"20";"80";"157.pdf";"Mediobanca dnf_2019.pdf"
"MITTEL SPA";"Financial Services";"681000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"53";"7";"7";"15";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"7568";"3022";"4569";"";"";"164517";"122222";"";"";"13940";"11";"54";"No";"No";"No";"355";"576";"43";"23";"";"44";"14";"55";"31";"49";"0";"57";"43";"118.pdf";"DNF_2019-1.pdf"
"MM";"Construction and Engineering";"421200";"";"Lombardia";"SI";"Altro-EIPR-obbligato";"DNF";"Report-separato";"129";"3";"26";"32";"3";"Si";"No";"Si";"Si";"Si (2017-2018)";"Si";"No";"Si";"Si";"No";"Si";"Core";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"6983";"50555";"0";"";"";"657160";"";"262100000";"";"29790";"45";"";"No";"No";"No";"852";"419";"33";"25";"";"46";"5";"59";"36";"60";"0";"0";"100";"158.pdf";"MM_DNF+2019_def+web.pdf"
"MONCLER";"Textile";"141310";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"199";"6";"14";"83";"3";"No";"No";"Si";"No";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1768";"7611";"5670";"";"";"98657";"";"253000";"";"1012";"2";"46";"No";"No";"No";"1314";"3255";"36";"45";"94";"38";"31";"58";"11";"56";"0";"18";"82";"159.pdf";"Moncler-DNF2019-ITA-DP.pdf"
"MONRIF";"Financial Services";"	640000";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"100";"6";"21";"23";"4";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"2299";"5671";"7630";"";"";"96223";"";"102000";"";"2953";"8";"44";"No";"No";"No";"543";"396";"33";"38";"78";"50";"3";"47";"50";"51";"0";"44";"56";"96.pdf";"Dichiarazione-Non-Finanziaria-2019.pdf"
"NEWLAT FOOD SPA";"Food and Beverage";"106100";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"67";"2";"9";"18";"10";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"37821";"";"";"30092";"";"1064452";"";"3267481";"";"229603";"61";"";"No";"No";"No";"833";"263";"38";"42";"78";"47";"7";"53";"40";"47";"14";"43";"43";"160.pdf";"Newlatfood-Relazione-Finanziaria-31-dicembre-2019.pdf"
"NEXI";"Financial Services";"661910";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"98";"3";"6";"25";"4";"Si";"Si";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"1189";"78505";"74961";"";"625";"64977";"49927";"";"";"685";"73";"";"No";"No";"No";"1061";"916";"31";"15";"92";"46";"3";"71";"26";"49";"0";"54";"46";"14.pdf";"2019-NEXI-DNF-ITA.pdf"
"NOVAMONT SPA";"Chemicals";"201000";"";"Piemonte";"SI";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"176";"3";"23";"76";"2";"No";"No";"Si";"No";"No";"Si";"No";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"49821";"24241";"997";"";"";"1176384";"";"10726000";"";"11881";"162";"";"No";"No";"No";"353";"105";"11";"23";"";"43";"10";"68";"22";"56";"0";"22";"78";"162.pdf";"Novamont-2019.pdf"
"OPENJOBMETIS";"Services";"	782000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"45";"2";"3";"20";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Lista";"No";"No";"No";"No";"N.R.";"1488";"";"";"220";"";"6095";"";"";"";"";"3";"";"No";"No";"No";"120";"515";"22";"21";"";"40";"11";"80";"9";"53";"0";"33";"67";"164.pdf";"OJM_Dichiarazione Consolidata di carattere non finanziario 2019_0.pdf"
"ORSERO SPA";"Food and Beverage";"463110";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"112";"4";"7";"26";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"245186";"14680";"18724";"";"";"3412336";"";"975040";"";"19746";"168";"";"No";"No";"No";"1074";"471";"33";"21";"";"43";"17";"56";"27";"51";"0";"44";"56";"165.pdf";"Orsero-2019.pdf"
"OVS";"Manufacturing";"	471910";"";"Veneto";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"84";"2";"8";"20";"3";"No";"No";"Si";"No";"No";"Si";"No";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"10533";"";"3578";"";"";"724937";"800065";"";"";"6829";"2";"";"No";"No";"No";"1380";"5072";"33";"39";"100";"42";"11";"64";"25";"58";"0";"11";"89";"123.pdf";"dnf_ovs_2019_ita.pdf"
"PANARIAGROUP";"Manufacturing";"233100";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"108";"8";"18";"23";"3";"Si";"No";"Si";"No";"Si (2017-2018)";"Si";"No";"Si";"Si";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"152797";"58849";"65108";"";"";"3157091";"";"450000";"";"77927";"109";"68";"No";"No";"No";"1395";"592";"40";"34";"";"46";"9";"56";"35";"58";"0";"10";"90";"20.pdf";"2020-03-31-h.-20.43-Panariagroup-DNF-2019.pdf"
"PIAGGIO";"Automotive";"309112";"";"Toscana";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"52";"2";"8";"23";"5";"No";"No";"No";"Si";"No";"No";"No";"No";"No";"Si";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"N.R.";"15591";"";"";"47902";"462";"620540";"661254";"";"";"76094";"12";"";"No";"No";"No";"4924";"1298";"33";"23";"94";"42";"19";"57";"24";"";"";"";"";"2.pdf";"016_bilancio_2019_ita_0.pdf"
"PININFARINA";"Automotive";"291000";"";"Piemonte";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"54";"3";"10";"16";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"No";"No";"Survey; Workshop Mono-STK";"820";"";"";"2018";"";"43461";"18875";"";"";"454373";"4";"";"No";"No";"No";"538";"134";"33";"17";"67";"43";"17";"53";"30";"55";"0";"22";"78";"166.pdf";"Pininfarina_dnf-2019.pdf"
"PIOVAN SPA";"Machine and Plant";"289600";"";"Veneto";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"70";"4";"5";"15";"4";"Si";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"";"";"";"";"";"26416";"";"";"";"761";"";"61";"No";"No";"No";"935";"166";"29";"12";"";"43";"13";"61";"26";"54";"0";"29";"71";"167.pdf";"PiovanGroup_Bilancio-di-sostenibilita-2019.pdf"
"PIQUADRO";"Manufacturing";"151209";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"73";"3";"7";"13";"1";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"599";"1400";"1647";"";"";"27232";"";"";"";"334";"2";"57";"No";"No";"No";"321";"847";"43";"3";"";"40";"23";"61";"16";"54";"0";"29";"71";"168.pdf";"piquadro_bilancio_di_sostenibilita_al_31_marzo_2019_dnf_2.pdf"
"PIRELLI";"Manufacturing";"221110";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"83";"5";"20";"50";"3";"Si";"Si";"Si";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Comprehensive";"UN Global Compact; IIRC";"UN_IIRC";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"192149";"574349";"636239";"";"44070";"10467443";"6299000";"";"";"116845";"24";"";"No";"No";"No";"27051";"4524";"27";"17";"99";"38";"24";"63";"13";"56";"0";"33";"67";"169.pdf";"PIRELLI_ANNUAL_REPORT_2019_ITA.pdf"
"POSTE ITALIANE";"Utilities";"	531000";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-Integrato";"Incluso-nella-Relazione-sulla-Gestione";"177";"10";"18";"65";"5";"No";"No";"Si";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact; IIRC; SASB";"UN_IIRC_SASB";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"145747";"177855";"8176";"";"156202";"3926371";"1776659";"";"";"29441";"3";"29";"Si";"Si";"No";"58390";"68055";"44";"46";"";"49";"6";"45";"49";"56";"0";"22";"78";"184.pdf";"Relazione-finanziaria-annuale-2019.pdf"
"PRIMA INDUSTRIE";"Machine and Plant";"284100";"";"Piemonte";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"86";"4";"8";"20";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Non Specificata";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"496";"3095";"";"";"";"60161";"";"";"";"";"2";"";"No";"No";"No";"1356";"233";"36";"";"78";"43";"14";"60";"26";"57";"0";"14";"86";"170.pdf";"PRIMA_Bilancio-di-Sostenibilit"
"PRYSMIAN";"Manufacturing";"467220";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"183";"9";"21";"48";"5";"Si";"No";"Si";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Core";"";"";"Si";"Si";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"329916";"588983";"540565";"";"";"10034549";"9615938";"";"";"18697";"32";"81";"Si";"Si";"Si";"23677";"4749";"42";"12";"";"44";"16";"54";"30";"52";"0";"42";"58";"171.pdf";"Prysmian_DNF_2019_ITA_3_Aprile.pdf"
"RAI";"Media and Publishing";"602000";"";"Lazio";"SI";"Altro-EIPR-obbligato";"DNF";"Report-separato";"227";"9";"12";"66";"3";"No";"No";"Si";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"20421";"64607";"3878";"";"";"1042545";"";"";"";"1750";"7";"";"No";"No";"No";"7303";"5598";"29";"36";"93";"50";"4";"42";"54";"54";"0";"29";"71";"8.pdf";"1593988018283_RAI Sociale 2019_web.pdf"
