freq,wstatus,age,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EMP_PT,Y20-64,PC_PNT,SE	-27.6 	-27.4 	-26.9 	-25.7 	-24.7 	-24.2 	-22.9 	-22.3 	-21.0 	-20.0 	-18.6 	-17.5 	-17.2 	-15.9 	-15.0 	-13.6 
A,EMP_PT,Y20-64,PC_PNT,SI	-4.7 	-6.3 	-5.5 	-6.3 	-6.6 	-7.3 	-7.0 	-7.6 	-8.1 	-8.9 	-8.0 	-7.3 	-6.4 	-6.5 	-6.7 	-6.6 
A,EMP_PT,Y20-64,PC_PNT,SK	-1.5 	-2.0 	-2.2 b	-2.0 	-2.1 	-2.2 	-3.0 	-2.9 	-3.0 	-2.8 	-2.6 	-2.9 	-2.8 	-2.3 	-3.2 	-3.5 
A,EMP_PT,Y20-64,PC_PNT,TR	-17.4 	-17.3 	-18.1 	-17.7 	-17.8 	-15.6 b	-14.0 	-12.6 	-12.7 	-12.2 	-10.4 	-10.5 	-9.6 b	-9.5 	-9.0 	-9.7 
A,EMP_TEMP,Y20-64,PC_PNT,AT	-0.4 	-0.2 	-0.6 	-0.8 	-0.4 	-0.7 	-0.2 	-0.7 	-0.3 	-0.6 	-0.7 	-0.5 	-0.8 	-1.0 	-1.0 	-1.1 
A,EMP_TEMP,Y20-64,PC_PNT,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.9 	-2.8 	-2.4 	-2.1 
A,EMP_TEMP,Y20-64,PC_PNT,BE	-2.9 	-2.3 	-2.0 	-1.7 	-1.5 	-1.4 	-0.9 	-1.1 	-0.9 b	-1.1 	-0.7 	-0.7 	-2.0 	-2.2 	-2.2 	-2.2 
A,EMP_TEMP,Y20-64,PC_PNT,BG	0.4 	0.4 b	0.2 b	0.4 	0.4 	0.1 	0.1 	0.4 	0.4 	0.1 	0.1 b	0.4 	0.8 	0.5 	0.2 	0.1 b
A,EMP_TEMP,Y20-64,PC_PNT,CH	: 	-0.8 b	-1.5 	-0.6 	-1.2 	-1.4 	-0.6 	-0.9 	-1.0 	-0.8 	-0.9 	-0.9 	-1.2 	-1.3 	-1.4 	-1.4 
A,EMP_TEMP,Y20-64,PC_PNT,CY	-11.7 	-12.9 	-13.1 	-11.6 	-13.5 	-11.4 	-9.9 	-9.4 	-6.5 	-6.3 	-8.5 	-8.3 	-7.8 	-7.2 	-5.5 	-7.4 
A,EMP_TEMP,Y20-64,PC_PNT,CZ	-3.5 	-3.4 	-3.0 b	-3.1 	-3.4 	-3.3 	-3.7 	-3.6 	-4.0 	-4.2 	-3.4 	-2.5 	-2.6 	-2.4 	-3.3 	-3.3 
A,EMP_TEMP,Y20-64,PC_PNT,DE	-1.4 	-1.3 b	-1.2 b	-0.9 	-1.0 	-0.9 	-1.0 	-0.8 	-0.5 	-0.3 	-0.2 	-0.5 b	-0.5 	-0.7 	-0.2 	-0.6 
A,EMP_TEMP,Y20-64,PC_PNT,DK	-2.7 	-1.8 	-2.1 	-2.5 	-2.3 	-1.8 	-2.4 	-4.0 b	-2.9 b	-3.1 	-2.8 	-3.9 	-3.7 	-3.0 	-3.3 b	-2.2 
A,EMP_TEMP,Y20-64,PC_PNT,EA20	-3.2 	-2.8 	-2.5 	-2.5 	-2.2 	-2.0 	-1.8 	-1.9 	-2.0 	-2.0 	-1.8 	-2.0 	-2.4 	-2.6 	-2.5 	-2.5 
A,EMP_TEMP,Y20-64,PC_PNT,EE	0.9 	2.0 	1.7 	1.7 	1.1 	0.2 	0.6 	0.7 	0.4 	0.1 	-0.2 	-0.3 	0.0 	-0.1 	0.1 	0.5 
A,EMP_TEMP,Y20-64,PC_PNT,EL	-3.8 	-3.7 	-2.9 	-3.0 	-2.5 	-2.4 	-2.3 	-2.7 	-3.7 	-4.2 	-4.2 	-3.3 	-4.0 	-4.3 	-4.2 	-3.8 
A,EMP_TEMP,Y20-64,PC_PNT,ES	-5.0 	-4.1 	-4.1 	-4.4 	-3.7 	-2.9 	-2.2 	-2.6 	-3.5 	-3.5 	-3.6 	-4.5 	-5.8 d	-5.5 d	-4.9 d	-5.3 d
A,EMP_TEMP,Y20-64,PC_PNT,EU27_2020	-2.9 	-2.5 	-2.3 	-2.1 	-2.0 	-1.9 	-1.9 	-1.9 	-2.1 	-2.1 	-2.0 	-2.2 	-2.3 	-2.4 	-2.5 	-2.4 
A,EMP_TEMP,Y20-64,PC_PNT,FI	-8.5 	-7.0 	-6.6 	-6.5 	-6.9 	-6.7 	-6.2 	-6.1 	-6.7 	-6.8 	-6.3 	-5.6 	-5.6 	-5.3 	-4.8 	-5.5 
A,EMP_TEMP,Y20-64,PC_PNT,FR	-3.4 	-2.8 	-2.4 	-2.5 	-2.0 	-2.6 	-2.3 	-1.9 	-2.2 	-2.3 	-1.8 	-2.3 	-2.5 d	-2.4 d	-2.7 d	-2.1 d
A,EMP_TEMP,Y20-64,PC_PNT,HR	-2.3 	-2.3 	-1.0 	-0.5 b	0.2 	-1.0 	-0.9 	-2.1 	-1.2 	-2.2 	-3.3 	-2.5 	-3.8 	-5.1 	-4.0 	-3.3 
A,EMP_TEMP,Y20-64,PC_PNT,HU	1.1 	0.8 	1.0 	1.7 	1.0 	0.7 	0.4 	-0.6 	-0.9 	-1.0 b	-1.0 	-0.9 	-0.9 	-0.6 	-0.3 	0.3 
A,EMP_TEMP,Y20-64,PC_PNT,IE	-3.0 	-2.3 	-2.1 	-1.9 	-1.2 	-1.6 	-1.3 	-1.7 	-1.5 b	-1.9 	-2.0 	-1.9 	-1.2 b	-2.0 	-2.0 	-1.6 
A,EMP_TEMP,Y20-64,PC_PNT,IS	-2.2 	-1.9 	-1.3 	-1.0 	-1.0 	-1.2 	-3.4 	-3.2 	-3.0 	-3.6 	-2.9 	-3.2 b	-4.0 	-5.8 	-5.7 	-3.6 
A,EMP_TEMP,Y20-64,PC_PNT,IT	-4.2 	-3.8 	-3.4 	-3.1 	-2.7 	-2.3 	-2.2 	-2.2 	-2.3 	-2.7 b	-2.3 	-2.0 	-2.9 	-3.6 	-3.7 	-3.6 
