Aziende_nel_Database,N_uomini_dipendenti,N_donne_dipendenti,Donne_nel_CdA_(%),Donne_in_posizioni_manageriali_di_vertice_(%),Disuguaglianza_salariale_di_genere_(%),Eta_media_dipendenti_(%),Dipendenti_con_eta_30_per,Dipendenti_con_eta_30_50_per,Dipendenti_con_eta_50_per,Eta_media_in_CdA_(%),Membri_del_CdA_con_eta_30_per,Membri_del_CdA_con_eta_30_50_per,Membri_del_CdA_con_eta_50_per
TREVI FINANZIARIA INDUSTRIALE SPA,5408.0,493.0,36.0,12.0,,42.0,14.0,65.0,21.0,56.0,0.0,18.0,82.0
TXT E-SOLUTIONS,579.0,207.0,29.0,20.0,,38.0,30.0,58.0,12.0,54.0,0.0,29.0,71.0
UNIONE DI BANCHE ITALIANE SPA,11343.0,8693.0,,35.0,96.0,47.0,5.0,55.0,40.0,,,,
UNICREDIT SPA,52354.0,40719.0,36.0,12.0,90.0,,,,,57.0,0.0,14.0,86.0
UNIEURO SPA,2638.0,2396.0,44.0,20.0,117.0,41.0,13.0,73.0,14.0,57.0,0.0,0.0,100.0
UNIPOL GRUPPO SPA,5658.0,6616.0,35.0,27.0,93.0,47.0,6.0,54.0,40.0,59.0,0.0,5.0,95.0
UNIVERSIT,1216.0,1075.0,55.0,50.0,,,,,,,,,
VERITAS SPA        ,2671.0,623.0,33.0,25.0,,48.0,5.0,53.0,42.0,53.0,0.0,33.0,67.0
VINCENZO ZUCCHI SPA        ,137.0,388.0,40.0,22.0,97.0,51.0,3.0,42.0,55.0,52.0,0.0,40.0,60.0
VITTORIA ASSICURAZIONI SPA,401.0,151.0,25.0,14.0,89.0,47.0,3.0,62.0,35.0,55.0,0.0,25.0,75.0
ZIGNAGO VETRO SPA,1242.0,491.0,38.0,24.0,,44.0,14.0,57.0,29.0,57.0,0.0,15.0,85.0
